able (ˈeɪbəl) - %%%способный; ();
accompany (əˈkʌmpəni) - %%%сопровождать; ();
add (æd) - %%%добавлять; ();
agree (əˈɡri) - %%%соглашаться; ();
allow (əˈlaʊ) - %%%позволять; ();
annoy (əˈnɔɪ) - %%%раздражать; ();
answer (ˈænsər) - %%%отвечать; ();
approach (əˈproʊʧ) - %%%подход; ();
arrive (əˈraɪv) - %%%приезжать; ();
ask (æsk) - %%%просить; ();
assist (əˈsɪst) - %%%помогать; ();
attend (əˈtɛnd) - %%%посещать; ();
bad (bæd) - %%%плохой; ();
bathe (beɪð) - %%%купаться; ();
be (bi) - %%%быть; ();
begin (bɪˈɡɪn) - %%%начинать; ();
believe (bɪˈliv) - %%%полагать; ();
bet (bɛt) - %%%ставка; ();
bite (baɪt) - %%%кусать; ();
borrow (ˈbɑˌroʊ) - %%%занимать; ();
break (breɪk) - %%%перерыв; ();
breathe (brið) - %%%дышать; ();
bring (brɪŋ) - %%%приносить; ();
build (bɪld) - %%%строить; ();
burn (bɜrn) - %%%гореть; ();
buy (baɪ) - %%%купить; ();
can (kæn) - %%%может; ();
cancel (ˈkænsəl) - %%%отмена; ();
care (kɛr) - %%%забота; ();
carry (ˈkæri) - %%%нести; ();
catch (kæʧ) - %%%ловить; ();
change (ʧeɪnʤ) - %%%изменять; ();
check (ʧɛk) - %%%проверять; ();
choose (ʧuz) - %%%выбирать; ();
clean (klin) - %%%чистый; ();
climb (klaɪm) - %%%взбираться; ();
close (kloʊs) - %%%закрывать; ();
come (kʌm) - %%%приходить; ();
comfort (ˈkʌmfərt) - %%%комфорт; ();
complain (kəmˈpleɪn) - %%%жаловаться; ();
confused (kənˈfjuzd) - %%%смущенный; ();
consider (kənˈsɪdər) - %%%учитывать; ();
cook (kʊk) - %%%готовить; ();
copy (ˈkɑpi) - %%%копировать; ();
cost (kɑst) - %%%расходы; ();
count (kaʊnt) - %%%считать; ();
cover (ˈkʌvər) - %%%крышка; ();
crash (kræʃ) - %%%крушение; ();
create (kriˈeɪt) - %%%создавать; ();
cry (kraɪ) - %%%плакать; ();
cut (kʌt) - %%%резать; ();
dance (dæns) - %%%танцевать; ();
decide (ˌdɪˈsaɪd) - %%%решать; ();
develop (dɪˈvɛləp) - %%%развивать; ();
divide (dɪˈvaɪd) - %%%разделять; ();
divorce (dɪˈvɔrs) - %%%развод; ();
do (du) - %%%делать; ();
download (ˈdaʊnˌloʊd) - %%%скачать; ();
drag (dræɡ) - %%%тащить; ();
draw (drɔ) - %%%рисовать; ();
